./Wave file /home/ralph/Christina/VV/PBX9501-EOS/HE.data material Sesame::PBX9501.new state 0.544662 0 isentrope V range 0.42 0.40 nsteps 30
Isentrope (right) for Sesame::PBX9501.new
     V           e           u           P           us          c           FD          T     
   cm^3/g      MJ/kg        km/s        GPa         km/s        km/s                     K     
-----------------------------------------------------------------------------------------------
 4.2000e-01  2.9456e+00  1.4670e+00  3.3921e+01  7.9650e+00  6.4980e+00  2.1569e+00  3.5022e+03
 4.1933e-01  2.9682e+00  1.4773e+00  3.4081e+01  7.9872e+00  6.5099e+00  2.1461e+00  3.5046e+03
 4.1867e-01  2.9910e+00  1.4877e+00  3.4243e+01  8.0096e+00  6.5219e+00  2.1746e+00  3.5071e+03
 4.1800e-01  3.0139e+00  1.4981e+00  3.4405e+01  8.0321e+00  6.5340e+00  2.1602e+00  3.5095e+03
 4.1733e-01  3.0369e+00  1.5085e+00  3.4568e+01  8.0546e+00  6.5461e+00  2.1460e+00  3.5120e+03
 4.1667e-01  3.0600e+00  1.5190e+00  3.4733e+01  8.0819e+00  6.5580e+00  4.4197e+00  3.5145e+03
 4.1600e-01  3.0832e+00  1.5295e+00  3.4899e+01  8.1189e+00  6.5910e+00  3.8554e+00  3.5169e+03
 4.1533e-01  3.1065e+00  1.5401e+00  3.5068e+01  8.1575e+00  6.6184e+00  3.3103e+00  3.5194e+03
 4.1467e-01  3.1300e+00  1.5508e+00  3.5238e+01  8.1917e+00  6.6402e+00  2.7802e+00  3.5219e+03
 4.1400e-01  3.1535e+00  1.5615e+00  3.5409e+01  8.2179e+00  6.6565e+00  2.2612e+00  3.5244e+03
 4.1333e-01  3.1772e+00  1.5722e+00  3.5582e+01  8.2395e+00  6.6673e+00  1.7496e+00  3.5269e+03
 4.1267e-01  3.2009e+00  1.5830e+00  3.5756e+01  8.2556e+00  6.6726e+00  1.2415e+00  3.5294e+03
 4.1200e-01  3.2248e+00  1.5937e+00  3.5931e+01  8.2663e+00  6.6725e+00  7.3513e-01  3.5319e+03
 4.1133e-01  3.2489e+00  1.6045e+00  3.6106e+01  8.2719e+00  6.6669e+00  2.2355e-01  3.5344e+03
 4.1067e-01  3.2730e+00  1.6154e+00  3.6281e+01  8.2714e+00  6.6557e+00 -2.9629e-01  3.5369e+03
 4.1000e-01  3.2972e+00  1.6262e+00  3.6456e+01  8.2644e+00  6.6389e+00 -8.2858e-01  3.5395e+03
 4.0933e-01  3.3216e+00  1.6369e+00  3.6630e+01  8.2521e+00  6.6162e+00 -1.3788e+00  3.5420e+03
 4.0867e-01  3.3461e+00  1.6477e+00  3.6804e+01  8.2355e+00  6.5876e+00 -1.9485e+00  3.5445e+03
 4.0800e-01  3.3707e+00  1.6584e+00  3.6977e+01  8.2158e+00  6.5553e+00 -1.5167e+00  3.5471e+03
 4.0733e-01  3.3954e+00  1.6691e+00  3.7148e+01  8.1979e+00  6.5286e+00 -1.4586e+00  3.5496e+03
 4.0667e-01  3.4202e+00  1.6798e+00  3.7319e+01  8.1827e+00  6.5028e+00 -1.3662e+00  3.5522e+03
 4.0600e-01  3.4451e+00  1.6905e+00  3.7489e+01  8.1686e+00  6.4783e+00 -1.2272e+00  3.5547e+03
 4.0533e-01  3.4702e+00  1.7011e+00  3.7659e+01  8.1566e+00  6.4557e+00 -1.0152e+00  3.5573e+03
 4.0467e-01  3.4953e+00  1.7117e+00  3.7828e+01  8.1477e+00  6.4359e+00 -6.9713e-01  3.5599e+03
 4.0400e-01  3.5206e+00  1.7223e+00  3.7996e+01  8.1427e+00  6.4203e+00 -2.1248e-01  3.5624e+03
 4.0333e-01  3.5460e+00  1.7329e+00  3.8165e+01  8.1440e+00  6.4111e+00  5.4020e-01  3.5650e+03
 4.0267e-01  3.5715e+00  1.7435e+00  3.8333e+01  8.1555e+00  6.4121e+00  1.7460e+00  3.5675e+03
 4.0200e-01  3.5971e+00  1.7541e+00  3.8503e+01  8.1840e+00  6.4298e+00  3.7588e+00  3.5701e+03
 4.0133e-01  3.6228e+00  1.7648e+00  3.8675e+01  8.2410e+00  6.4764e+00  7.3220e+00  3.5726e+03
 4.0067e-01  3.6487e+00  1.7757e+00  3.8851e+01  8.3536e+00  6.5777e+00  1.4146e+01  3.5752e+03
 4.0000e-01  3.6746e+00  1.7868e+00  3.9037e+01  8.6487e+00  6.7940e+00  2.8667e+01  3.5777e+03

