%       Steady-state reaction-zone structure for LX17
%
%  UNITS
%  volume: kg/m^3
%  T:      deg K
%  e:      Nm/kg
%  c:      m/s
%  lambda, eta_react, eta_prod are dimensionless
%
%  lambda       pressure     volume       eta_react    eta_prod     T            e            c^2  
  3.7500e-01   3.3081e+10   3.6627e-04   1.4369e+00   1.4271e+00   1.7146e+03   2.6244e+06   6.9419e+07
  3.8000e-01   3.3071e+10   3.6632e-04   1.4368e+00   1.4269e+00   1.7175e+03   2.6228e+06   6.9134e+07
  3.8500e-01   3.3061e+10   3.6637e-04   1.4366e+00   1.4267e+00   1.7204e+03   2.6212e+06   6.8849e+07
  3.9000e-01   3.3051e+10   3.6642e-04   1.4365e+00   1.4266e+00   1.7234e+03   2.6196e+06   6.8564e+07
  3.9500e-01   3.3041e+10   3.6647e-04   1.4364e+00   1.4264e+00   1.7263e+03   2.6180e+06   6.8279e+07
  4.0000e-01   3.3030e+10   3.6652e-04   1.4363e+00   1.4262e+00   1.7293e+03   2.6163e+06   6.7994e+07
  4.0500e-01   3.3020e+10   3.6657e-04   1.4362e+00   1.4260e+00   1.7323e+03   2.6147e+06   6.7709e+07
  4.1000e-01   3.3009e+10   3.6662e-04   1.4360e+00   1.4258e+00   1.7354e+03   2.6130e+06   6.7425e+07
  4.1500e-01   3.2999e+10   3.6667e-04   1.4359e+00   1.4256e+00   1.7384e+03   2.6113e+06   6.7140e+07
  4.2000e-01   3.2988e+10   3.6672e-04   1.4358e+00   1.4255e+00   1.7415e+03   2.6096e+06   6.6855e+07
  4.2500e-01   3.2977e+10   3.6677e-04   1.4357e+00   1.4253e+00   1.7446e+03   2.6078e+06   6.6571e+07
  4.3000e-01   3.2966e+10   3.6683e-04   1.4355e+00   1.4251e+00   1.7478e+03   2.6061e+06   6.6286e+07
  4.3500e-01   3.2954e+10   3.6688e-04   1.4354e+00   1.4249e+00   1.7509e+03   2.6043e+06   6.6002e+07
  4.4000e-01   3.2943e+10   3.6693e-04   1.4353e+00   1.4247e+00   1.7541e+03   2.6025e+06   6.5717e+07
  4.4500e-01   3.2932e+10   3.6699e-04   1.4351e+00   1.4245e+00   1.7573e+03   2.6007e+06   6.5433e+07
  4.5000e-01   3.2920e+10   3.6704e-04   1.4350e+00   1.4243e+00   1.7606e+03   2.5989e+06   6.5149e+07
  4.5500e-01   3.2908e+10   3.6710e-04   1.4349e+00   1.4241e+00   1.7638e+03   2.5970e+06   6.4865e+07
  4.6000e-01   3.2896e+10   3.6716e-04   1.4347e+00   1.4239e+00   1.7671e+03   2.5951e+06   6.4580e+07
  4.6500e-01   3.2884e+10   3.6722e-04   1.4346e+00   1.4237e+00   1.7704e+03   2.5932e+06   6.4296e+07
  4.7000e-01   3.2872e+10   3.6727e-04   1.4345e+00   1.4235e+00   1.7738e+03   2.5913e+06   6.4012e+07
  4.7500e-01   3.2860e+10   3.6733e-04   1.4343e+00   1.4232e+00   1.7772e+03   2.5894e+06   6.3728e+07
  4.8000e-01   3.2847e+10   3.6739e-04   1.4342e+00   1.4230e+00   1.7806e+03   2.5874e+06   6.3444e+07
  4.8500e-01   3.2835e+10   3.6745e-04   1.4340e+00   1.4228e+00   1.7840e+03   2.5854e+06   6.3160e+07
  4.9000e-01   3.2822e+10   3.6751e-04   1.4339e+00   1.4226e+00   1.7874e+03   2.5834e+06   6.2877e+07
  4.9500e-01   3.2809e+10   3.6758e-04   1.4338e+00   1.4224e+00   1.7909e+03   2.5814e+06   6.2593e+07
  5.0000e-01   3.2796e+10   3.6764e-04   1.4336e+00   1.4221e+00   1.7944e+03   2.5793e+06   6.2309e+07
  5.0500e-01   3.2783e+10   3.6770e-04   1.4335e+00   1.4219e+00   1.7980e+03   2.5773e+06   6.2025e+07
  5.1000e-01   3.2769e+10   3.6777e-04   1.4333e+00   1.4217e+00   1.8016e+03   2.5751e+06   6.1742e+07
  5.1500e-01   3.2756e+10   3.6783e-04   1.4332e+00   1.4215e+00   1.8052e+03   2.5730e+06   6.1458e+07
  5.2000e-01   3.2742e+10   3.6790e-04   1.4330e+00   1.4212e+00   1.8088e+03   2.5708e+06   6.1175e+07
  5.2500e-01   3.2728e+10   3.6796e-04   1.4328e+00   1.4210e+00   1.8125e+03   2.5687e+06   6.0891e+07
  5.3000e-01   3.2714e+10   3.6803e-04   1.4327e+00   1.4207e+00   1.8162e+03   2.5664e+06   6.0608e+07
  5.3500e-01   3.2700e+10   3.6810e-04   1.4325e+00   1.4205e+00   1.8199e+03   2.5642e+06   6.0325e+07
  5.4000e-01   3.2685e+10   3.6817e-04   1.4324e+00   1.4202e+00   1.8237e+03   2.5619e+06   6.0041e+07
  5.4500e-01   3.2671e+10   3.6824e-04   1.4322e+00   1.4200e+00   1.8275e+03   2.5596e+06   5.9758e+07
  5.5000e-01   3.2656e+10   3.6831e-04   1.4320e+00   1.4197e+00   1.8313e+03   2.5573e+06   5.9475e+07
  5.5500e-01   3.2641e+10   3.6838e-04   1.4319e+00   1.4195e+00   1.8352e+03   2.5549e+06   5.9192e+07
  5.6000e-01   3.2625e+10   3.6846e-04   1.4317e+00   1.4192e+00   1.8391e+03   2.5525e+06   5.8909e+07
  5.6500e-01   3.2610e+10   3.6853e-04   1.4315e+00   1.4189e+00   1.8430e+03   2.5501e+06   5.8626e+07
  5.7000e-01   3.2594e+10   3.6861e-04   1.4313e+00   1.4187e+00   1.8470e+03   2.5477e+06   5.8343e+07
  5.7500e-01   3.2578e+10   3.6868e-04   1.4312e+00   1.4184e+00   1.8510e+03   2.5452e+06   5.8060e+07
  5.8000e-01   3.2562e+10   3.6876e-04   1.4310e+00   1.4181e+00   1.8550e+03   2.5426e+06   5.7777e+07
  5.8500e-01   3.2546e+10   3.6884e-04   1.4308e+00   1.4179e+00   1.8591e+03   2.5401e+06   5.7495e+07
  5.9000e-01   3.2529e+10   3.6892e-04   1.4306e+00   1.4176e+00   1.8632e+03   2.5375e+06   5.7212e+07
  5.9500e-01   3.2512e+10   3.6900e-04   1.4304e+00   1.4173e+00   1.8673e+03   2.5349e+06   5.6929e+07
  6.0000e-01   3.2495e+10   3.6908e-04   1.4303e+00   1.4170e+00   1.8715e+03   2.5322e+06   5.6647e+07
  6.0500e-01   3.2478e+10   3.6917e-04   1.4301e+00   1.4167e+00   1.8758e+03   2.5295e+06   5.6364e+07
  6.1000e-01   3.2460e+10   3.6925e-04   1.4299e+00   1.4164e+00   1.8800e+03   2.5268e+06   5.6082e+07
  6.1500e-01   3.2442e+10   3.6934e-04   1.4297e+00   1.4161e+00   1.8843e+03   2.5240e+06   5.5800e+07
  6.2000e-01   3.2424e+10   3.6942e-04   1.4295e+00   1.4158e+00   1.8887e+03   2.5212e+06   5.5517e+07
  6.2500e-01   3.2406e+10   3.6951e-04   1.4293e+00   1.4155e+00   1.8931e+03   2.5183e+06   5.5235e+07
  6.3000e-01   3.2387e+10   3.6960e-04   1.4291e+00   1.4151e+00   1.8975e+03   2.5154e+06   5.4953e+07
  6.3500e-01   3.2368e+10   3.6969e-04   1.4289e+00   1.4148e+00   1.9020e+03   2.5124e+06   5.4671e+07
  6.4000e-01   3.2349e+10   3.6979e-04   1.4287e+00   1.4145e+00   1.9065e+03   2.5094e+06   5.4389e+07
  6.4500e-01   3.2329e+10   3.6988e-04   1.4285e+00   1.4142e+00   1.9110e+03   2.5064e+06   5.4107e+07
  6.5000e-01   3.2309e+10   3.6997e-04   1.4282e+00   1.4138e+00   1.9156e+03   2.5033e+06   5.3825e+07
  6.5500e-01   3.2289e+10   3.7007e-04   1.4280e+00   1.4135e+00   1.9203e+03   2.5002e+06   5.3543e+07
  6.6000e-01   3.2268e+10   3.7017e-04   1.4278e+00   1.4131e+00   1.9249e+03   2.4970e+06   5.3261e+07
  6.6500e-01   3.2247e+10   3.7027e-04   1.4276e+00   1.4128e+00   1.9297e+03   2.4938e+06   5.2979e+07
  6.7000e-01   3.2226e+10   3.7037e-04   1.4274e+00   1.4124e+00   1.9345e+03   2.4905e+06   5.2697e+07
  6.7500e-01   3.2205e+10   3.7048e-04   1.4271e+00   1.4121e+00   1.9393e+03   2.4871e+06   5.2416e+07
  6.8000e-01   3.2183e+10   3.7058e-04   1.4269e+00   1.4117e+00   1.9442e+03   2.4837e+06   5.2134e+07
  6.8500e-01   3.2160e+10   3.7069e-04   1.4266e+00   1.4113e+00   1.9491e+03   2.4803e+06   5.1852e+07
  6.9000e-01   3.2137e+10   3.7080e-04   1.4264e+00   1.4109e+00   1.9540e+03   2.4768e+06   5.1571e+07
  6.9500e-01   3.2114e+10   3.7091e-04   1.4262e+00   1.4105e+00   1.9591e+03   2.4732e+06   5.1289e+07
  7.0000e-01   3.2091e+10   3.7102e-04   1.4259e+00   1.4101e+00   1.9641e+03   2.4696e+06   5.1008e+07
  7.0500e-01   3.2067e+10   3.7114e-04   1.4257e+00   1.4097e+00   1.9692e+03   2.4659e+06   5.0726e+07
  7.1000e-01   3.2042e+10   3.7125e-04   1.4254e+00   1.4093e+00   1.9744e+03   2.4621e+06   5.0445e+07
  7.1500e-01   3.2017e+10   3.7137e-04   1.4251e+00   1.4089e+00   1.9796e+03   2.4583e+06   5.0164e+07
  7.2000e-01   3.1992e+10   3.7150e-04   1.4249e+00   1.4085e+00   1.9849e+03   2.4544e+06   4.9882e+07
  7.2500e-01   3.1966e+10   3.7162e-04   1.4246e+00   1.4080e+00   1.9902e+03   2.4505e+06   4.9601e+07
  7.3000e-01   3.1940e+10   3.7175e-04   1.4243e+00   1.4076e+00   1.9956e+03   2.4464e+06   4.9320e+07
  7.3500e-01   3.1913e+10   3.7187e-04   1.4241e+00   1.4071e+00   2.0011e+03   2.4423e+06   4.9038e+07
  7.4000e-01   3.1886e+10   3.7201e-04   1.4238e+00   1.4067e+00   2.0066e+03   2.4381e+06   4.8757e+07
  7.4500e-01   3.1858e+10   3.7214e-04   1.4235e+00   1.4062e+00   2.0121e+03   2.4339e+06   4.8476e+07
  7.5000e-01   3.1829e+10   3.7228e-04   1.4232e+00   1.4057e+00   2.0177e+03   2.4295e+06   4.8195e+07
  7.5500e-01   3.1800e+10   3.7242e-04   1.4229e+00   1.4053e+00   2.0234e+03   2.4251e+06   4.7913e+07
  7.6000e-01   3.1771e+10   3.7256e-04   1.4226e+00   1.4048e+00   2.0291e+03   2.4205e+06   4.7632e+07
  7.6500e-01   3.1740e+10   3.7270e-04   1.4223e+00   1.4043e+00   2.0349e+03   2.4159e+06   4.7351e+07
  7.7000e-01   3.1709e+10   3.7285e-04   1.4220e+00   1.4037e+00   2.0408e+03   2.4112e+06   4.7070e+07
  7.7500e-01   3.1678e+10   3.7300e-04   1.4217e+00   1.4032e+00   2.0467e+03   2.4064e+06   4.6788e+07
  7.8000e-01   3.1645e+10   3.7316e-04   1.4213e+00   1.4027e+00   2.0526e+03   2.4015e+06   4.6507e+07
  7.8500e-01   3.1612e+10   3.7332e-04   1.4210e+00   1.4021e+00   2.0587e+03   2.3965e+06   4.6226e+07
  7.9000e-01   3.1578e+10   3.7348e-04   1.4207e+00   1.4016e+00   2.0648e+03   2.3913e+06   4.5944e+07
  7.9500e-01   3.1544e+10   3.7365e-04   1.4203e+00   1.4010e+00   2.0709e+03   2.3861e+06   4.5663e+07
  8.0000e-01   3.1508e+10   3.7382e-04   1.4200e+00   1.4004e+00   2.0772e+03   2.3807e+06   4.5381e+07
  8.0500e-01   3.1472e+10   3.7399e-04   1.4196e+00   1.3998e+00   2.0835e+03   2.3753e+06   4.5100e+07
  8.1000e-01   3.1435e+10   3.7417e-04   1.4192e+00   1.3992e+00   2.0898e+03   2.3696e+06   4.4818e+07
  8.1500e-01   3.1397e+10   3.7435e-04   1.4188e+00   1.3985e+00   2.0963e+03   2.3639e+06   4.4536e+07
  8.2000e-01   3.1357e+10   3.7454e-04   1.4185e+00   1.3979e+00   2.1028e+03   2.3580e+06   4.4254e+07
  8.2500e-01   3.1317e+10   3.7473e-04   1.4181e+00   1.3972e+00   2.1094e+03   2.3520e+06   4.3972e+07
  8.3000e-01   3.1276e+10   3.7493e-04   1.4177e+00   1.3965e+00   2.1160e+03   2.3458e+06   4.3690e+07
  8.3500e-01   3.1234e+10   3.7513e-04   1.4173e+00   1.3958e+00   2.1227e+03   2.3394e+06   4.3408e+07
  8.4000e-01   3.1190e+10   3.7534e-04   1.4168e+00   1.3951e+00   2.1295e+03   2.3329e+06   4.3125e+07
  8.4500e-01   3.1145e+10   3.7556e-04   1.4164e+00   1.3944e+00   2.1364e+03   2.3262e+06   4.2842e+07
  8.5000e-01   3.1099e+10   3.7578e-04   1.4160e+00   1.3936e+00   2.1434e+03   2.3193e+06   4.2559e+07
  8.5500e-01   3.1052e+10   3.7601e-04   1.4155e+00   1.3928e+00   2.1504e+03   2.3123e+06   4.2276e+07
  8.6000e-01   3.1003e+10   3.7624e-04   1.4150e+00   1.3920e+00   2.1575e+03   2.3050e+06   4.1992e+07
  8.6500e-01   3.0952e+10   3.7648e-04   1.4146e+00   1.3912e+00   2.1646e+03   2.2975e+06   4.1708e+07
  8.7000e-01   3.0900e+10   3.7673e-04   1.4141e+00   1.3903e+00   2.1719e+03   2.2897e+06   4.1423e+07
  8.7500e-01   3.0846e+10   3.7699e-04   1.4136e+00   1.3895e+00   2.1792e+03   2.2817e+06   4.1138e+07
  8.8000e-01   3.0790e+10   3.7726e-04   1.4130e+00   1.3885e+00   2.1866e+03   2.2735e+06   4.0853e+07
  8.8500e-01   3.0733e+10   3.7754e-04   1.4125e+00   1.3876e+00   2.1941e+03   2.2650e+06   4.0567e+07
  8.9000e-01   3.0673e+10   3.7782e-04   1.4120e+00   1.3866e+00   2.2017e+03   2.2562e+06   4.0280e+07
  8.9500e-01   3.0611e+10   3.7812e-04   1.4114e+00   1.3856e+00   2.2093e+03   2.2470e+06   3.9992e+07
  9.0000e-01   3.0546e+10   3.7843e-04   1.4108e+00   1.3846e+00   2.2171e+03   2.2375e+06   3.9704e+07
  9.0500e-01   3.0479e+10   3.7875e-04   1.4102e+00   1.3835e+00   2.2249e+03   2.2277e+06   3.9415e+07
  9.1000e-01   3.0408e+10   3.7909e-04   1.4096e+00   1.3823e+00   2.2328e+03   2.2174e+06   3.9124e+07
  9.1500e-01   3.0335e+10   3.7944e-04   1.4089e+00   1.3811e+00   2.2407e+03   2.2068e+06   3.8833e+07
  9.2000e-01   3.0258e+10   3.7981e-04   1.4082e+00   1.3799e+00   2.2487e+03   2.1956e+06   3.8540e+07
  9.2500e-01   3.0178e+10   3.8020e-04   1.4075e+00   1.3786e+00   2.2569e+03   2.1839e+06   3.8246e+07
  9.3000e-01   3.0093e+10   3.8060e-04   1.4068e+00   1.3772e+00   2.2650e+03   2.1717e+06   3.7949e+07
  9.3500e-01   3.0004e+10   3.8103e-04   1.4060e+00   1.3757e+00   2.2733e+03   2.1588e+06   3.7651e+07
  9.4000e-01   2.9909e+10   3.8149e-04   1.4052e+00   1.3742e+00   2.2816e+03   2.1452e+06   3.7350e+07
  9.4500e-01   2.9808e+10   3.8197e-04   1.4043e+00   1.3726e+00   2.2899e+03   2.1308e+06   3.7047e+07
  9.5000e-01   2.9701e+10   3.8248e-04   1.4034e+00   1.3708e+00   2.2984e+03   2.1155e+06   3.6740e+07
  9.5500e-01   2.9586e+10   3.8304e-04   1.4024e+00   1.3690e+00   2.3068e+03   2.0991e+06   3.6429e+07
  9.6000e-01   2.9462e+10   3.8363e-04   1.4014e+00   1.3670e+00   2.3153e+03   2.0815e+06   3.6113e+07
  9.6500e-01   2.9326e+10   3.8428e-04   1.4003e+00   1.3648e+00   2.3237e+03   2.0624e+06   3.5790e+07
  9.7000e-01   2.9177e+10   3.8500e-04   1.3990e+00   1.3624e+00   2.3321e+03   2.0415e+06   3.5460e+07
  9.7500e-01   2.9011e+10   3.8579e-04   1.3977e+00   1.3597e+00   2.3405e+03   2.0183e+06   3.5120e+07
  9.8000e-01   2.8822e+10   3.8670e-04   1.3962e+00   1.3567e+00   2.3486e+03   1.9921e+06   3.4766e+07
  9.8500e-01   2.8601e+10   3.8776e-04   1.3944e+00   1.3532e+00   2.3565e+03   1.9616e+06   3.4391e+07
  9.9000e-01   2.8329e+10   3.8906e-04   1.3923e+00   1.3488e+00   2.3638e+03   1.9246e+06   3.3984e+07
  9.9500e-01   2.7960e+10   3.9084e-04   1.3895e+00   1.3429e+00   2.3700e+03   1.8747e+06   3.3509e+07
