%       Steady-state reaction-zone structure for LX17
%
%  UNITS
%  volume: kg/m^3
%  T:      deg K
%  e:      Nm/kg
%  c:      m/s
%  lambda, eta_react, eta_prod are dimensionless
%
%  lambda       pressure     volume       eta_react    eta_prod     T            e            c^2  
  0.0000e+00   3.3614e+10   3.6372e-04   1.4433e+00   1.0000e+00   1.5460e+03   2.7092e+06   9.0908e+07
  5.0000e-03   3.3609e+10   3.6374e-04   1.4432e+00   1.4363e+00   1.5480e+03   2.7087e+06   9.0619e+07
  1.0000e-02   3.3603e+10   3.6377e-04   1.4431e+00   1.4362e+00   1.5498e+03   2.7079e+06   9.0332e+07
  1.5000e-02   3.3598e+10   3.6379e-04   1.4431e+00   1.4361e+00   1.5515e+03   2.7070e+06   9.0044e+07
  2.0000e-02   3.3593e+10   3.6382e-04   1.4430e+00   1.4360e+00   1.5533e+03   2.7062e+06   8.9756e+07
  2.5000e-02   3.3588e+10   3.6384e-04   1.4429e+00   1.4360e+00   1.5551e+03   2.7053e+06   8.9469e+07
  3.0000e-02   3.3582e+10   3.6387e-04   1.4429e+00   1.4359e+00   1.5569e+03   2.7045e+06   8.9181e+07
  3.5000e-02   3.3577e+10   3.6389e-04   1.4428e+00   1.4358e+00   1.5587e+03   2.7036e+06   8.8894e+07
  4.0000e-02   3.3572e+10   3.6392e-04   1.4427e+00   1.4357e+00   1.5606e+03   2.7027e+06   8.8606e+07
  4.5000e-02   3.3566e+10   3.6395e-04   1.4427e+00   1.4356e+00   1.5624e+03   2.7019e+06   8.8319e+07
  5.0000e-02   3.3561e+10   3.6397e-04   1.4426e+00   1.4355e+00   1.5642e+03   2.7010e+06   8.8031e+07
  5.5000e-02   3.3555e+10   3.6400e-04   1.4425e+00   1.4354e+00   1.5661e+03   2.7001e+06   8.7744e+07
  6.0000e-02   3.3549e+10   3.6403e-04   1.4425e+00   1.4353e+00   1.5680e+03   2.6992e+06   8.7456e+07
  6.5000e-02   3.3544e+10   3.6405e-04   1.4424e+00   1.4352e+00   1.5698e+03   2.6983e+06   8.7169e+07
  7.0000e-02   3.3538e+10   3.6408e-04   1.4423e+00   1.4351e+00   1.5717e+03   2.6974e+06   8.6882e+07
  7.5000e-02   3.3532e+10   3.6411e-04   1.4423e+00   1.4350e+00   1.5736e+03   2.6965e+06   8.6594e+07
  8.0000e-02   3.3527e+10   3.6413e-04   1.4422e+00   1.4349e+00   1.5756e+03   2.6955e+06   8.6307e+07
  8.5000e-02   3.3521e+10   3.6416e-04   1.4421e+00   1.4348e+00   1.5775e+03   2.6946e+06   8.6020e+07
  9.0000e-02   3.3515e+10   3.6419e-04   1.4420e+00   1.4347e+00   1.5794e+03   2.6937e+06   8.5732e+07
  9.5000e-02   3.3509e+10   3.6422e-04   1.4420e+00   1.4346e+00   1.5814e+03   2.6927e+06   8.5445e+07
  1.0000e-01   3.3503e+10   3.6425e-04   1.4419e+00   1.4345e+00   1.5833e+03   2.6918e+06   8.5158e+07
  1.0500e-01   3.3497e+10   3.6428e-04   1.4418e+00   1.4344e+00   1.5853e+03   2.6908e+06   8.4871e+07
  1.1000e-01   3.3491e+10   3.6431e-04   1.4417e+00   1.4342e+00   1.5873e+03   2.6898e+06   8.4584e+07
  1.1500e-01   3.3485e+10   3.6433e-04   1.4417e+00   1.4341e+00   1.5893e+03   2.6889e+06   8.4297e+07
  1.2000e-01   3.3479e+10   3.6436e-04   1.4416e+00   1.4340e+00   1.5913e+03   2.6879e+06   8.4010e+07
  1.2500e-01   3.3473e+10   3.6439e-04   1.4415e+00   1.4339e+00   1.5934e+03   2.6869e+06   8.3723e+07
  1.3000e-01   3.3467e+10   3.6442e-04   1.4414e+00   1.4338e+00   1.5954e+03   2.6859e+06   8.3436e+07
  1.3500e-01   3.3460e+10   3.6445e-04   1.4414e+00   1.4337e+00   1.5975e+03   2.6849e+06   8.3149e+07
  1.4000e-01   3.3454e+10   3.6448e-04   1.4413e+00   1.4336e+00   1.5995e+03   2.6839e+06   8.2862e+07
  1.4500e-01   3.3448e+10   3.6451e-04   1.4412e+00   1.4335e+00   1.6016e+03   2.6828e+06   8.2575e+07
  1.5000e-01   3.3441e+10   3.6455e-04   1.4411e+00   1.4334e+00   1.6037e+03   2.6818e+06   8.2288e+07
  1.5500e-01   3.3435e+10   3.6458e-04   1.4411e+00   1.4333e+00   1.6058e+03   2.6807e+06   8.2001e+07
  1.6000e-01   3.3428e+10   3.6461e-04   1.4410e+00   1.4331e+00   1.6079e+03   2.6797e+06   8.1714e+07
  1.6500e-01   3.3421e+10   3.6464e-04   1.4409e+00   1.4330e+00   1.6101e+03   2.6786e+06   8.1428e+07
  1.7000e-01   3.3415e+10   3.6467e-04   1.4408e+00   1.4329e+00   1.6122e+03   2.6776e+06   8.1141e+07
  1.7500e-01   3.3408e+10   3.6470e-04   1.4407e+00   1.4328e+00   1.6144e+03   2.6765e+06   8.0854e+07
  1.8000e-01   3.3401e+10   3.6474e-04   1.4407e+00   1.4327e+00   1.6166e+03   2.6754e+06   8.0568e+07
  1.8500e-01   3.3394e+10   3.6477e-04   1.4406e+00   1.4325e+00   1.6188e+03   2.6743e+06   8.0281e+07
  1.9000e-01   3.3387e+10   3.6480e-04   1.4405e+00   1.4324e+00   1.6210e+03   2.6732e+06   7.9994e+07
  1.9500e-01   3.3381e+10   3.6484e-04   1.4404e+00   1.4323e+00   1.6232e+03   2.6721e+06   7.9708e+07
  2.0000e-01   3.3373e+10   3.6487e-04   1.4403e+00   1.4322e+00   1.6254e+03   2.6710e+06   7.9421e+07
  2.0500e-01   3.3366e+10   3.6490e-04   1.4402e+00   1.4321e+00   1.6277e+03   2.6698e+06   7.9135e+07
  2.1000e-01   3.3359e+10   3.6494e-04   1.4402e+00   1.4319e+00   1.6300e+03   2.6687e+06   7.8848e+07
  2.1500e-01   3.3352e+10   3.6497e-04   1.4401e+00   1.4318e+00   1.6322e+03   2.6675e+06   7.8562e+07
  2.2000e-01   3.3345e+10   3.6501e-04   1.4400e+00   1.4317e+00   1.6345e+03   2.6664e+06   7.8276e+07
  2.2500e-01   3.3337e+10   3.6504e-04   1.4399e+00   1.4315e+00   1.6369e+03   2.6652e+06   7.7989e+07
  2.3000e-01   3.3330e+10   3.6508e-04   1.4398e+00   1.4314e+00   1.6392e+03   2.6640e+06   7.7703e+07
  2.3500e-01   3.3323e+10   3.6511e-04   1.4397e+00   1.4313e+00   1.6415e+03   2.6628e+06   7.7417e+07
  2.4000e-01   3.3315e+10   3.6515e-04   1.4396e+00   1.4312e+00   1.6439e+03   2.6616e+06   7.7131e+07
  2.4500e-01   3.3307e+10   3.6519e-04   1.4395e+00   1.4310e+00   1.6463e+03   2.6604e+06   7.6844e+07
  2.5000e-01   3.3300e+10   3.6522e-04   1.4394e+00   1.4309e+00   1.6487e+03   2.6592e+06   7.6558e+07
  2.5500e-01   3.3292e+10   3.6526e-04   1.4394e+00   1.4307e+00   1.6511e+03   2.6579e+06   7.6272e+07
  2.6000e-01   3.3284e+10   3.6530e-04   1.4393e+00   1.4306e+00   1.6535e+03   2.6567e+06   7.5986e+07
  2.6500e-01   3.3276e+10   3.6534e-04   1.4392e+00   1.4305e+00   1.6560e+03   2.6554e+06   7.5700e+07
  2.7000e-01   3.3268e+10   3.6537e-04   1.4391e+00   1.4303e+00   1.6585e+03   2.6541e+06   7.5414e+07
  2.7500e-01   3.3260e+10   3.6541e-04   1.4390e+00   1.4302e+00   1.6609e+03   2.6528e+06   7.5128e+07
  2.8000e-01   3.3252e+10   3.6545e-04   1.4389e+00   1.4300e+00   1.6634e+03   2.6515e+06   7.4842e+07
  2.8500e-01   3.3244e+10   3.6549e-04   1.4388e+00   1.4299e+00   1.6660e+03   2.6502e+06   7.4556e+07
  2.9000e-01   3.3235e+10   3.6553e-04   1.4387e+00   1.4298e+00   1.6685e+03   2.6489e+06   7.4271e+07
  2.9500e-01   3.3227e+10   3.6557e-04   1.4386e+00   1.4296e+00   1.6711e+03   2.6476e+06   7.3985e+07
  3.0000e-01   3.3219e+10   3.6561e-04   1.4385e+00   1.4295e+00   1.6736e+03   2.6462e+06   7.3699e+07
  3.0500e-01   3.3210e+10   3.6565e-04   1.4384e+00   1.4293e+00   1.6762e+03   2.6449e+06   7.3413e+07
  3.1000e-01   3.3202e+10   3.6569e-04   1.4383e+00   1.4292e+00   1.6788e+03   2.6435e+06   7.3128e+07
  3.1500e-01   3.3193e+10   3.6574e-04   1.4382e+00   1.4290e+00   1.6815e+03   2.6421e+06   7.2842e+07
  3.2000e-01   3.3184e+10   3.6578e-04   1.4381e+00   1.4289e+00   1.6841e+03   2.6407e+06   7.2557e+07
  3.2500e-01   3.3175e+10   3.6582e-04   1.4380e+00   1.4287e+00   1.6868e+03   2.6393e+06   7.2271e+07
  3.3000e-01   3.3166e+10   3.6586e-04   1.4379e+00   1.4286e+00   1.6895e+03   2.6379e+06   7.1986e+07
  3.3500e-01   3.3157e+10   3.6591e-04   1.4378e+00   1.4284e+00   1.6922e+03   2.6364e+06   7.1700e+07
  3.4000e-01   3.3148e+10   3.6595e-04   1.4377e+00   1.4282e+00   1.6949e+03   2.6350e+06   7.1415e+07
  3.4500e-01   3.3139e+10   3.6600e-04   1.4375e+00   1.4281e+00   1.6977e+03   2.6335e+06   7.1130e+07
  3.5000e-01   3.3129e+10   3.6604e-04   1.4374e+00   1.4279e+00   1.7004e+03   2.6320e+06   7.0844e+07
  3.5500e-01   3.3120e+10   3.6609e-04   1.4373e+00   1.4277e+00   1.7032e+03   2.6305e+06   7.0559e+07
  3.6000e-01   3.3110e+10   3.6613e-04   1.4372e+00   1.4276e+00   1.7060e+03   2.6290e+06   7.0274e+07
  3.6500e-01   3.3101e+10   3.6618e-04   1.4371e+00   1.4274e+00   1.7089e+03   2.6275e+06   6.9989e+07
  3.7000e-01   3.3091e+10   3.6622e-04   1.4370e+00   1.4272e+00   1.7117e+03   2.6259e+06   6.9704e+07
